CandidateID,PositionID,JobTitle,ApplicationDate,Source,Stage,DateatStage
CAND-67,  pos-1  ,IT,"""""""""""2025--11--23""""""", job fair ,Applied,"""2025--11--23"""
,"""""""""""""""""""POS--1""""""""""""""", IT  ,   2025-11-23   , LinkedIn ,"""""""SCREENED""""""",2025-11-25
"""""""""""CAND--69""""""""""","""POS--1""",  IT ,"""""""""""2025--11--23""""""""""""""",company website,"""""""""""Interview""""1""""""", 2025-12-02  
 CAND-70   ,#N/A,  IT   , NULL ,  Employee Referral ,"""""""""""""""Interview""""2""""""","""""""2025--12--08"""""""
  CAND-71 ,"""""""""""""""POS--1""""""""""", IT   ,"""""""2025--11--23""""""",  Job Fair  ,"""""""""""OFFER""""""", 2025-12-12  
   cand-72   , pos-1 ,   IT  ,"""""""""""""""2025--11--23""""""""""",  LinkedIn   , NULL ,"""""""""""""""2025--12--15"""""""
N/A,pos-2,    Regional Sales   ,"""""""""""2025--12--27""""""""""""""",  COMPANY WEBSITE ,  Rejected  ,"""""""""""2025--12--27"""""""
 CAND-74   ,"""POS--2""","""Regional""""Sales""",   2026-01-22   ,"""""""""""""""Company""""Website""""""",   Applied ,2026-01-22
CAND-74,"""""""""""""""POS--2""""""""""""""",Regional Sales,  2026-01-22   ,   Company Website  ,   APPLIED   ,  2026-01-22   
  CAND-76   ,POS-2,"""Regional""""Sales""",   2026-01-22 ,"""""""""""Indeed""""""""""",  Interview 1   ,   2026-02-03  
  CAND-77   ,   POS-2 ,  REGIONAL SALES   , 2026-01-22   ,  Company Website  ,  INTERVIEW 2  ,   2026-02-09    
  cand-78  ,"""POS--2""",  regional sales   , 2026-01-22 ,  , OFFER   ,  2026-02-15   
  CAND-78 ,  POS-2  ,Regional Sales,   2026-01-22   ,"""EMPLOYEE""""REFERRAL""",   OFFER   ,   2026-02-15 
  CAND-80 , POS-2  ,"""""""""""REGIONAL""""SALES""""""", 2025-12-04  ,"""employee""""referral""","""""""""""""""Applied""""""""""""""", NULL 
CAND-81,   POS-2   ,    Regional Sales   ,"""""""""""""""2025--12--04""""""""""",   Job Fair    ,N/A,   2025-12-06   
CAND-82, POS-2   ,"""""""""""""""regional""""sales""""""",2026-01-26,   Company Website   ,Applied,2026-01-26
  ,,"""""""""""""""""""regional""""sales""""""""""""""""""","""""""""""""""2026--01--26""""""""""",  Company Website  ,#N/A,"""2026--01--30"""
"""""""CAND--84""""""""""""""","""""""""""POS--2""""""""""",N/A,#N/A,Indeed,  INTERVIEW 1  ,   2026-02-05    
  ,pos-2,  regional sales ,  ,"""""""""""linkedin""""""",    INTERVIEW 2  , 2026-02-11 
"""""""CAND--86""""""""""","""""""""""POS--2""""""""""",Regional Sales,"""2026--01--26""",   LinkedIn , offer  ,  2026-02-13 
CAND-87,POS-2,   Regional Sales   ,2026-01-26, company website ,"""""""""""""""hired""""""",  2026-02-19  
"""""""""""""""CAND--88""""""""""""""",  POS-2 , regional sales ,"""2025--12--16""",N/A,"""Applied""", 2025-12-16  
CAND-89,POS-2,  Regional Sales  ,   2025-12-16   , Employee Referral  ,SCREENED,N/A
  CAND-89 ,"""POS--2""",   REGIONAL SALES  ,  2025-12-16  ,Employee Referral,Screened,   2025-12-23 
"""""""""""CAND--90""""""""""",  POS-2 ,  Regional Sales  ,"""""""2025--12--16""""""",Job Fair, Rejected  ,2025-12-28
 CAND-92  ,  POS-2  ,  Regional Sales   ,  2026-01-09 ,   COMPANY WEBSITE   ,"""Applied""",2026-01-09
CAND-93,POS-2,,  2026-01-09   , indeed , Screened  ,   2026-01-11   
CAND-94,  POS-2   ,Regional Sales,"""""""""""""""2026--01--09""""""",Indeed,  interview 1  ,2026-01-13
"""""""""""CAND--95""""""""""", POS-2  ,  REGIONAL SALES    ,"""""""2026--01--09""""""""""""""","""""""""""""""Job""""Fair""""""""""""""",INTERVIEW 2, 2026-01-17  
"""""""""""CAND--96""""""", POS-2 ,Regional Sales, 2026-01-09  ,#N/A, NULL ,   2026-01-19 
"""""""""""""""CAND--96""""""""""""""", POS-2   , Regional Sales ,"""2026--01--09""",company website, Offer   ,  2026-01-19  
"""""""""""""""CAND--97""""""","""""""pos--2""""""""""""""", regional sales ,  2026-01-09  , Employee Referral  ,"""""""HIRED""""""""""",2026-01-25
"""""""CAND--99""""""""""",pos-2, Regional Sales ,2025-12-16,   Indeed  ,"""""""""""Screened""""""""""""""","""2025--12--20"""
 CAND-100 ,"""""""""""POS--2""""""""""","""""""""""""""Regional""""Sales""""""""""",2025-12-16, LinkedIn ,  Rejected  ,"""""""2025--12--24"""""""""""
"""CAND--101""","""POS--2""", Regional Sales , 2025-12-10   ,Indeed,"""""""""""""""Applied""""""""""", 2025-12-10 
  CAND-102  ,"""""""POS--2""""""""""",  Regional Sales  , NULL ,  company website  ,  Screened   ,  2025-12-13  
CAND-103,"""""""pos--2""""""""""","""Regional""""Sales""",2025-12-10, NULL ,"""""""Interview""""1""""""""""""""",  2025-12-19   
   CAND-103 , POS-2   ,   Regional Sales  ,"""2025--12--10""",job fair,Interview 1, 2025-12-19  
"""""""""""""""CAND--105""""""", pos-2  ,regional sales,2025-11-26,"""""""""""""""Indeed""""""", Rejected   ,    2025-11-26    
   CAND-106   ,  POS-2   ,  Regional Sales ,  2026-01-20  ,   Employee Referral , Applied ,  2026-01-20 
   CAND-107 ,  POS-2 ,Regional Sales,"""""""2026--01--20""""""", Employee Referral  ,N/A,   2026-01-25 
N/A,"""""""""""""""pos--2""""""""""","""regional""""sales""","""""""""""2026--01--20""""""""""""""",LinkedIn,   INTERVIEW 1 ,"""""""""""2026--01--30"""""""
  CAND-109   ,"""""""""""""""pos--2""""""""""""""","""""""Regional""""Sales""""""""""""""","""""""""""2026--01--20""""""""""",#N/A,  Rejected   ,  
    CAND-110   ,  POS-2   , REGIONAL SALES ,   2025-12-11  , Company Website ,   Applied  ,2025-12-11
"""""""""""""""CAND--111""""""""""", POS-2 ,Regional Sales,#N/A,   Indeed , REJECTED ,#N/A
  ,pos-2,  Regional Sales   ,   2025-12-14   , LinkedIn ,"""""""""""applied""""""",2025-12-14
   CAND-113   ,   POS-2 ,    regional sales    ,"""""""2025--12--14""""""","""""""""""""""Indeed""""""""""""""","""screened""","""2025--12--20"""
"""""""""""CAND--114""""""","""POS--2""","""Regional""""Sales""",   2025-12-14 , NULL ,   Rejected  ,   2025-12-27  
   CAND-115   ,"""""""POS--2""""""""""",  Regional Sales    , 2026-01-11 ,"""LinkedIn""","""""""""""Applied""""""""""""""","""""""""""""""2026--01--11"""""""""""
"""CAND--116""",POS-2,#N/A, 2026-01-11 ,   employee referral    , Screened ,   2026-01-14   
,   POS-2   , regional sales   ,"""2026--01--11""",  COMPANY WEBSITE ,"""""""""""Interview""""1""""""""""""""""""",  2026-01-17 
   CAND-117   , pos-2   ,"""REGIONAL""""SALES""", 2026-01-11   ,"""""""""""company""""website""""""""""","""""""""""""""INTERVIEW""""1""""""""""""""","""2026--01--17"""
 CAND-119 ,#N/A,   Regional Sales   , 2026-01-24 , NULL ,#N/A, 2026-01-24 
 CAND-120   , POS-3 ,"""Regional""""Sales""","""""""2026--01--09""""""",Indeed,  Applied ,  
  CAND-120 ,"""POS--3""",  Regional Sales   ,  2026-01-09 ,  Indeed   ,  applied  , 2026-01-09   
  CAND-122 ,  ,,"""""""""""2025--11--22""""""""""""""",LinkedIn,  Rejected , 2025-11-22 
 CAND-123 ,POS-3,REGIONAL SALES, 2026-01-30 ,   Job Fair   ,N/A,   2026-01-30   
  CAND-124  ,,   REGIONAL SALES  ,"""2026--01--30""",  Employee Referral , Screened ,"""""""2026--02--01"""""""""""
 CAND-125   ,,"""""""""""Regional""""Sales""""""""""""""",  2026-01-30 ,  ,   REJECTED   ,"""""""""""""""2026--02--04"""""""
 CAND-126   ,  pos-3 ,"""""""Regional""""Sales""""""""""""""",   2025-12-23  ,"""""""""""LinkedIn""""""""""","""""""Applied""""""", 2025-12-23  
CAND-127, pos-3 ,  REGIONAL SALES ,"""2025--12--23""","""""""""""company""""website""""""""""",Rejected,2025-12-26
   cand-127 ,"""POS--3""",  Regional Sales   ,   2025-12-23 ,  COMPANY WEBSITE ,REJECTED,  2025-12-26  
"""CAND--129""",  ,   Regional Sales   ,,Indeed,"""Screened""",  2026-01-30   
   CAND-130   ,"""POS--3""","""""""Regional""""Sales""""""",  2026-01-24   ,,  Interview 1 ,2026-02-04
"""""""""""CAND--131""""""","""""""""""pos--3""""""""""",#N/A,  ,,Interview 2,  2026-02-08  
#N/A,   POS-3   ,Regional Sales,  2026-01-24  ,INDEED,   Offer   ,2026-02-11
  CAND-133 ,    POS-3    ,#N/A,2026-01-24,   Employee Referral  , NULL , 2026-02-17   
"""""""""""CAND--133""""""""""""""",POS-3,Regional Sales,   2026-01-24   , Employee Referral   ,   Hired ,   2026-02-17  
 CAND-134 , POS-3   ,   regional sales   , 2025-12-07  ,"""""""""""Company""""Website""""""",   Rejected   , 2025-12-07  
CAND-136,pos-3,#N/A,2025-12-27,"""""""""""""""""""Indeed""""""""""""""""""",Screened,   2026-01-02  
  CAND-137  ,    POS-3    , Regional Sales ,"""""""""""""""2025--12--27""""""""""""""",  ,"""Interview""""1""",2026-01-04
   CAND-138  ,  POS-3 ,  Regional Sales  ,"""2025--12--27""",#N/A,  Interview 2   ,  2026-01-09  
   CAND-139  ,"""""""""""POS--3""""""""""""""","""""""regional""""sales""""""""""", 2025-12-27 ,Indeed,"""""""Rejected""""""",
   CAND-140   , NULL ,   REGIONAL SALES  ,   2025-12-11 ,  Job Fair ,  ,2025-12-11
"""""""""""""""CAND--140""""""""""",POS-3,"""""""""""Regional""""Sales""""""""""",  2025-12-11 , job fair   ,  APPLIED ,2025-12-11
N/A,   POS-3   ,   REGIONAL SALES  ,2025-12-11, company website  ,  ,2025-12-18
   CAND-143  , POS-3  ,  Regional Sales   ,  2025-11-09  , EMPLOYEE REFERRAL ,  Applied   , 2025-11-09 
   CAND-144  ,#N/A, Regional Sales   ,  2025-11-09  ,Job Fair, NULL ,    2025-11-14    
,#N/A,  Regional Sales  , 2025-11-09 ,  ,Rejected,"""2025--11--16"""
   CAND-146  ,   POS-3   , REGIONAL SALES  ,"""""""""""""""2025--11--15""""""","""""""""""""""employee""""referral""""""""""""""""""",   Applied ,  2025-11-15 
  ,   POS-3  ,"""""""Regional""""Sales""""""""""","""""""""""2025--11--15""""""","""""""""""""""Employee""""Referral""""""""""",  Screened   ,2025-11-22
"""""""""""""""CAND--148""""""""""""""",N/A,"""""""regional""""sales""""""""""",  2025-11-15   ,  LINKEDIN  ,#N/A,   2025-11-24  
 NULL ,  POS-3  ,"""""""""""""""regional""""sales""""""",   2026-01-02   ,   indeed   ,  Applied  ,"""""""""""2026--01--02"""""""""""""""
   CAND-150  ,"""""""""""""""POS--3""""""""""",Regional Sales,   2026-01-02 ,Company Website,  Screened ,
CAND-151,#N/A, REGIONAL SALES ,2026-01-02, NULL ,"""""""""""""""Interview""""1""""""""""", 2026-01-13  
  CAND-152  ,POS-3,Regional Sales,"""""""""""""""2026--01--02""""""", LinkedIn   , Interview 2   ,"""""""""""""""2026--01--20"""""""""""
"""""""""""""""""""CAND--153""""""""""", POS-3  ,,"""""""""""2026--01--02""""""""""",   Job Fair  ,, 2026-01-27 
 CAND-153   ,"""""""""""pos--3""""""""""""""", Regional Sales  , 2026-01-02   ,  Job Fair ,  Rejected  ,  2026-01-27  
"""""""""""cand--155""""""""""","""""""POS--3""""""""""",   Regional Sales  ,   2025-12-15  ,   Employee Referral ,"""""""""""""""Screened""""""""""""""",
   cand-156   ,N/A,  regional sales    , 2025-12-15  , Employee Referral  ,"""Interview""""1""",2025-12-26
CAND-156,pos-3,  Regional Sales ,2025-12-15,   Employee Referral   ,INTERVIEW 1, 2025-12-26  
N/A, POS-3  ,  REGIONAL SALES ,2025-12-15,"""""""""""""""Company""""Website""""""""""",Rejected,   2026-01-02   
, POS-3 ,  REGIONAL SALES  , NULL , Indeed ,Rejected,   2026-01-08  
  CAND-159  ,"""pos--3""", Regional Sales   ,  2026-01-08   ,Indeed,"""""""""""Rejected""""""""""",   2026-01-08 
   CAND-161    ,"""pos--3""", Regional Sales ,"""2025--12--24""",Job Fair,   Screened  , 2025-12-30   
   CAND-162    , POS-3  ,"""""""Regional""""Sales""""""""""""""","""""""2025--12--24""""""",, INTERVIEW 1 , 2026-01-01 
 CAND-163  , POS-3 ,#N/A,   2025-12-24   , Employee Referral ,   INTERVIEW 2   ,"""2026--01--03"""
 CAND-164  ,"""POS--3""",Regional Sales,2025-12-24,  LinkedIn  , Offer   , 2026-01-09 
CAND-165,POS-3, Regional Sales   ,2025-12-24,"""""""Job""""Fair""""""""""""""",HIRED,  2026-01-14 
   CAND-166    ,  POS-3   ,   REGIONAL SALES   ,   2026-01-15   , Job Fair  ,  applied   ,"""""""2026--01--15"""""""
   CAND-167   ,  POS-3 , Regional Sales , 2026-01-15 ,  , SCREENED  ,"""""""2026--01--21"""""""""""""""
 CAND-168   , POS-3   ,N/A,,    EMPLOYEE REFERRAL   ,"""""""Interview""""1""""""""""""""",N/A
 CAND-169 , pos-3 ,Regional Sales, 2026-01-15  , Indeed  ,"""""""""""Interview""""2""""""""""""""",
N/A,    POS-3  ,   Regional Sales ,  2026-01-15 ,"""""""""""Company""""Website""""""""""", Offer  ,
  ,"""""""""""""""POS--3""""""",  regional sales ,N/A,   Employee Referral   ,"""""""""""""""Hired""""""""""",2026-02-04
"""""""""""CAND--172""""""""""""""",   POS-3  ,REGIONAL SALES, 2026-01-25 ,    Indeed  , Applied , NULL 
"""cand--173""", NULL ,Regional Sales,   2026-01-25   ,   Job Fair ,Screened,  2026-01-29  
CAND-174,  POS-3 ,   regional sales ,  2026-01-25  ,  Company Website    ,"""Rejected""","""""""""""""""2026--02--02"""""""""""""""""""
,   POS-3 ,"""""""""""""""REGIONAL""""SALES""""""""""""""",   2025-10-30 ,job fair,  Applied  , 2025-10-30  
 CAND-176 , POS-3  ,Regional Sales,  2025-10-30 , Employee Referral ,   screened   , 2025-11-03   
   CAND-177   ,pos-3,   Regional Sales  , NULL ,Indeed, INTERVIEW 1  ,"""""""2025--11--07"""""""""""""""
   CAND-178   ,  POS-3   ,, NULL ,"""""""""""Company""""Website""""""""""""""""""",  Interview 2 ,   2025-11-13   
"""""""""""CAND--179""""""""""",   POS-3 ,  Regional Sales ,"""2025--10--30""",  , Offer ,"""""""""""""""2025--11--18"""""""""""""""
  CAND-180 ,  POS-3  ,  Regional Sales   ,   2025-10-30  ,   Employee Referral  ,Hired,  
 CAND-181  ,  POS-4 ,Research,  2025-12-28  , NULL , Rejected   ,2025-12-28
  cand-182  ,POS-4,"""""""""""""""""""Research""""""""""""""",  2026-01-04  ,   Employee Referral  ,   Rejected ,"""""""""""""""2026--01--04"""""""""""""""
  cand-183 ,  POS-4  ,research, NULL ,N/A,, 2026-01-06   
CAND-184,N/A, Research ,"""""""""""2026--01--06""""""","""""""Employee""""Referral""""""",  screened  ,   2026-01-08 
"""cand--185""", pos-4  ,"""Research""", 2026-01-06  ,"""""""JOB""""FAIR""""""",   INTERVIEW 1 ,"""""""""""""""2026--01--13"""""""""""""""
  CAND-185 ,   POS-4 ,"""""""""""RESEARCH""""""""""""""",  2026-01-06  ,Job Fair,"""""""""""interview""""1""""""""""""""",   2026-01-13 
"""""""CAND--187""""""",   pos-4 , RESEARCH ,#N/A,Company Website,  Offer   , 2026-01-23   
"""""""""""""""cand--188""""""",   POS-4  ,Research,2026-01-06,   Job Fair    ,   Hired   ,2026-01-28
 NULL ,"""""""""""""""POS--4""""""",Research,"""2025--12--31""",  Company Website , applied , 2025-12-31 
cand-189,POS-4,"""""""""""RESEARCH""""""", 2025-12-31  , Company Website  ,Applied, 2025-12-31  
 CAND-191 ,POS-4,   Research    ,  ,#N/A,Applied,  2026-01-13   
 CAND-191 , POS-4  ,Research,   2026-01-13   ,Company Website,"""""""""""applied""""""""""""""", 2026-01-13 
CAND-193,   POS-4   , Research ,  2026-01-13 ,   LinkedIn  ,#N/A,  2026-01-26 
"""""""CAND--194""""""""""""""",    POS-4  ,   Research  ,#N/A,"""""""""""""""Employee""""Referral""""""""""""""","""""""APPLIED""""""""""""""","""""""""""""""2026--01--30"""""""
 cand-195 ,pos-4, Research , 2026-01-30   , INDEED , REJECTED ,"""""""""""""""2026--02--05"""""""""""
   CAND-196 ,  POS-4   ,  Research ,   2026-01-11 ,   LinkedIn , APPLIED ,2026-01-11
   CAND-197 ,POS-4,   Research ,2026-01-11,"""Company""""Website""",SCREENED,2026-01-15
 CAND-198   ,  pos-4 ,   Research   ,   2026-01-11   , employee referral  , NULL ,2026-01-20
  CAND-199  ,  POS-4  ,  ,   2026-01-01   , Indeed  , NULL ,
   CAND-200   ,  POS-4 ,"""""""""""research""""""""""","""""""2026--01--01""""""", Employee Referral ,N/A,  2026-01-04 
N/A,POS-4,Research, NULL , Indeed ,    Interview 1    ,   2026-01-06   
 NULL ,POS-4,    research   ,2026-01-01,  Job Fair ,Interview 2,   2026-01-13   
   CAND-203   ,"""""""""""POS--4""""""",Research,#N/A,"""""""""""Job""""Fair""""""","""""""""""""""Offer""""""""""",  2026-01-17   
   CAND-204 ,"""""""""""POS--4""""""""""",  RESEARCH , 2026-01-01 ,  ,Hired,2026-01-22
 CAND-205   ,"""""""POS--4""""""""""","""""""Research""""""",2026-01-02,Indeed,"""""""Applied""""""""""""""",2026-01-02
"""""""""""""""CAND--206""""""""""""""",POS-4,  research   ,   2026-01-02  ,  Employee Referral   ,Rejected,2026-01-06
 CAND-207 ,POS-4,"""Research""","""""""2026--01--25""""""""""", Indeed   ,#N/A,   2026-01-25   
   CAND-208   ,POS-4,   Research  ,"""""""2026--01--25""""""""""""""",   Employee Referral   ,  Screened  ,   2026-01-27   
CAND-209,  POS-4 , Research  ,  2026-01-25   ,"""""""Company""""Website""""""""""""""",  Rejected   , NULL 
 CAND-210   , POS-4 ,research, NULL , COMPANY WEBSITE  ,"""""""Applied""""""""""""""","""""""""""2025--12--30"""""""""""
CAND-211, POS-4 ,"""research""", 2025-12-30   ,  Indeed   , SCREENED  ,   2026-01-03 
"""""""""""CAND--212""""""",  ,"""""""Research""""""""""""""","""""""2025--12--30""""""""""", Indeed ,interview 1, 2026-01-05 
CAND-213,"""""""POS--4""""""""""", Research  ,   2025-12-30 ,"""COMPANY""""WEBSITE""",  ,N/A
"""CAND--214""",pos-4,Research,"""""""""""""""2025--12--30""""""""""""""",   Employee Referral   ,Offer,"""""""""""""""2026--01--17"""""""""""""""
CAND-214,"""""""""""POS--4""""""""""""""",  Research   ,   2025-12-30  ,"""""""""""""""Employee""""Referral""""""", Offer  ,2026-01-17
 CAND-216  , POS-4   , Research   , 2026-01-04 ,   Job Fair ,Rejected,"""2026--01--04"""
#N/A,  POS-4  ,N/A,, employee referral   ,   Applied  , 2026-01-14 
 CAND-218 , POS-4  ,"""Research""",,linkedin,   Screened ,
   CAND-218   ,pos-4,  Research   , 2026-01-14  ,   LinkedIn  , Screened   ,  2026-01-18  
   CAND-220 ,   POS-4 ,,   2026-01-14   ,  Job Fair ,interview 2,  2026-01-25    
CAND-221, POS-4   , Research , 2026-01-14 ,N/A,"""""""""""Offer""""""""""", 2026-01-28   
 CAND-222  ,POS-4,    Research   ,  2026-01-14  ,  Indeed ,N/A,
CAND-223,N/A,  Research ,2026-01-14,"""Employee""""Referral""",  Applied   ,  2026-01-14   
CAND-224,"""POS--4""",N/A, NULL ,"""""""""""Company""""Website""""""""""""""",  ,#N/A
   CAND-224 ,  POS-4  ,  RESEARCH ,2026-01-14,"""""""company""""website""""""","""""""""""""""Rejected""""""",2026-01-19
#N/A, NULL , MARKETING ,N/A, Job Fair  , Applied , 2026-01-27   
  CAND-227 ,POS-5,"""""""""""Marketing""""""""""""""", 2026-01-27 , NULL ,   SCREENED ,  2026-02-01   
  CAND-228   ,   POS-5 ,  Marketing ,  2026-01-27   ,   COMPANY WEBSITE , interview 1 , 2026-02-04   
 NULL , POS-5  ,Marketing,2026-01-27,#N/A,  Interview 2  , 2026-02-09  
"""""""CAND--230""""""",POS-5,"""Marketing""",2026-01-27,,,  2026-02-16 
